pm25,pm10,co,no2,so2,latitude,longitude,date,AQI_reference,AQI,dominant_pollutant
32.949999999999996,75.03333333333333,0.49616666666666664,21.991666666666664,17.504166666666666,28.6139,77.209,2024-03-04,105.45833333333333,75.03333333333333,pm10
39.0625,94.52083333333333,0.48741666666666666,18.537499999999998,15.995833333333332,28.6139,77.209,2024-03-05,95.91666666666667,94.52083333333333,pm10
52.025,110.69166666666666,0.7628750000000001,28.59166666666667,26.40416666666667,28.6139,77.209,2024-03-06,121.04166666666667,107.43942953020134,pm10
56.9,114.64583333333333,0.948,37.92916666666667,30.041666666666668,28.6139,77.209,2024-03-07,152.29166666666666,110.06669463087248,pm10
38.12083333333333,84.85416666666667,0.5335,22.366666666666664,18.783333333333335,28.6139,77.209,2024-03-08,122.08333333333333,84.85416666666667,pm10
40.18333333333333,127.02083333333333,0.57475,22.670833333333334,18.6375,28.6139,77.209,2024-03-09,106.125,118.28901006711409,pm10
56.0625,107.74166666666667,0.926625,41.35,29.125,28.6139,77.209,2024-03-10,122.95833333333333,105.47936241610739,pm10
75.31666666666666,126.24583333333334,1.1007916666666666,49.0625,41.262499999999996,28.6139,77.209,2024-03-11,164.66666666666666,149.87413793103445,pm25
48.666666666666664,100.22083333333335,0.6615416666666667,27.425,22.704166666666666,28.6139,77.209,2024-03-12,148.83333333333334,100.48229865771813,pm10
46.22083333333333,119.675,0.5861666666666666,23.395833333333332,21.52916666666667,28.6139,77.209,2024-03-13,131.33333333333334,113.40822147651006,pm10
40.108333333333334,89.57916666666667,0.5334166666666667,23.583333333333332,20.741666666666667,28.6139,77.209,2024-03-14,112.66666666666667,89.57916666666667,pm10
36.84583333333333,122.79583333333333,0.49241666666666667,21.808333333333334,15.079166666666666,28.6139,77.209,2024-03-15,111.20833333333333,115.48179530201342,pm10
44.59583333333333,96.34583333333335,0.6910416666666667,32.65,23.46666666666667,28.6139,77.209,2024-03-16,110.70833333333333,96.34583333333335,pm10
50.35,105.81666666666666,0.9268333333333333,39.512499999999996,25.6875,28.6139,77.209,2024-03-17,134.79166666666666,104.20033557046979,pm10
48.82916666666667,105.25833333333333,0.8435,36.12083333333333,22.65833333333333,28.6139,77.209,2024-03-18,133.25,103.82936241610737,pm10
50.854166666666664,110.45,0.8678333333333333,39.137499999999996,24.52916666666667,28.6139,77.209,2024-03-19,138.375,107.27885906040268,pm10
59.104166666666664,93.22916666666667,1.013625,43.887499999999996,29.1125,28.6139,77.209,2024-03-20,149.04166666666666,98.48635057471265,pm25
64.78333333333333,171.46666666666667,0.660125,27.09166666666667,24.825,28.6139,77.209,2024-03-21,151.91666666666666,147.82013422818792,pm10
64.6375,128.65416666666667,0.816875,35.78333333333333,31.462500000000002,28.6139,77.209,2024-03-22,159.58333333333334,119.37424496644296,pm10
51.65833333333333,149.72916666666666,0.6083333333333333,27.116666666666664,19.104166666666668,28.6139,77.209,2024-03-23,153.83333333333334,133.37709731543623,pm10
53.23333333333333,140.85833333333332,0.7009583333333333,31.604166666666668,22.3625,28.6139,77.209,2024-03-24,142.54166666666666,127.48305369127516,pm10
42.68333333333334,121.17916666666666,0.5730000000000001,24.7,18.533333333333335,28.6139,77.209,2024-03-25,130.91666666666666,114.40763422818792,pm10
43.666666666666664,111.27083333333333,0.522875,24.058333333333334,18.479166666666668,28.6139,77.209,2024-03-26,117.125,107.82424496644295,pm10
53.84583333333333,142.89166666666668,0.710125,36.25833333333333,29.02916666666667,28.6139,77.209,2024-03-27,136.54166666666666,128.83406040268457,pm10
49.5,124.8625,0.5322916666666667,27.020833333333332,24.037499999999998,28.6139,77.209,2024-03-28,141.41666666666666,116.85494966442953,pm10
57.14166666666667,139.01666666666668,0.632875,33.44583333333333,28.145833333333332,28.6139,77.209,2024-03-29,147.79166666666666,126.25939597315437,pm10
48.21666666666667,132.9125,0.5115833333333334,22.925,20.833333333333332,28.6139,77.209,2024-03-30,148.5,122.20360738255033,pm10
40.94166666666667,121.39999999999999,0.48208333333333336,23.84166666666667,16.883333333333333,28.6139,77.209,2024-03-31,121.54166666666667,114.55436241610738,pm10
